Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Promotes Interoperability of EHRs,Birthing Friendly Facility,Hospital Overall Rating,Count of Facility MORT Measures,MORT Measures Better,MORT Measures Worse,Count of Facility Safety Measures,Safety Measures Better,Safety Measures Worse,Count of Facility READM Measures,READM Measures Better,READM Measures Worse,Facility ID,MORT-30-AMI Benchmark,MORT-30-AMI Performance Rate,MORT-30-HF Benchmark,MORT-30-HF Performance Rate,MORT-30-PN Benchmark,MORT-30-PN Performance Rate,MORT-30-COPD Benchmark,MORT-30-COPD Performance Rate,AMI Normative Performance Index,HF Normative Performance Index,PN Normative Performance Index,COPD Normative Performance Index,AMI Performance Comparison,HF Performance Comparison,PN Performance Comparison,COPD Performance Comparison
SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,7.0,1.0,1.0,8.0,2.0,0.0,11.0,0.0,1.0,10001,0.887868,0.8802369832992554,0.907733,0.9019169807434082,0.872976,0.815392017364502,0.934002,0.9098600149154663,0.9914052351242024,0.9935928083956496,0.9340371526416557,0.9741521055795023,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,N,2,6.0,0.0,2.0,7.0,0.0,1.0,10.0,0.0,0.0,10005,0.887868,0.864067018032074,0.907733,0.8563389778137207,0.872976,0.7654139995574951,0.934002,0.8988230228424072,0.9731931075701276,0.943382005296404,0.876786990200756,0.9623352228821858,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,(256) 629-1000,Acute Care Hospitals,Proprietary,Yes,Y,Y,1,7.0,0.0,2.0,7.0,2.0,0.0,9.0,0.0,2.0,10006,0.887868,0.8354809880256653,0.907733,0.8669229745864868,0.872976,0.8054530024528503,0.934002,0.8991680145263672,0.9409968464069719,0.955041818008695,0.9226519428401816,0.9627045922025511,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,(334) 493-3541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,N,2,3.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,10007,0.887868,0.8742327837351045,0.907733,0.8743460178375244,0.872976,0.7175599932670593,0.934002,0.8652600049972534,0.984642743893354,0.9632193804097949,0.8219698975310424,0.9264005912163501,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,(205) 838-3122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,N,2,7.0,0.0,0.0,7.0,2.0,0.0,9.0,0.0,0.0,10011,0.887868,0.8684849739074707,0.907733,0.8588430285453796,0.872976,0.7821959853172302,0.934002,0.8942720293998718,0.9781690227685542,0.9461405815866335,0.8960108700780207,0.9574626493303782,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,(205) 620-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,7.0,0.0,0.0,7.0,2.0,0.0,9.0,0.0,1.0,10016,0.887868,0.8695849776268005,0.907733,0.8919579982757568,0.872976,0.8194739818572998,0.934002,0.9048420190811157,0.9794079498605655,0.9826215398974774,0.9387130709862583,0.9687795305375317,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,N,Y,1,4.0,0.0,1.0,7.0,1.0,2.0,9.0,0.0,0.0,10019,0.887868,0.8742327837351045,0.907733,0.8345320224761963,0.872976,0.7340729832649231,0.934002,0.9186490178108215,0.984642743893354,0.9193584704711587,0.8408856409167298,0.983562152769289,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,(334) 774-2601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,N,3,3.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,10021,0.887868,0.8742327837351045,0.907733,0.8695530295372009,0.872976,0.8129510283470154,0.934002,0.9080979824066162,0.984642743893354,0.9579392062833464,0.931240982967476,0.9722655651771798,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,(334) 288-2100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,2,7.0,0.0,1.0,7.0,0.0,3.0,11.0,1.0,1.0,10023,0.887868,0.8612899780273438,0.907733,0.8752580285072327,0.872976,0.7960780262947083,0.934002,0.8919690251350403,0.9700653453298731,0.964224092885499,0.9119128433023453,0.9549969112861003,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,(334) 293-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,7.0,0.0,1.0,7.0,0.0,3.0,11.0,0.0,1.0,10024,0.887868,0.8879110217094421,0.907733,0.8549469709396362,0.872976,0.8110949993133545,0.934002,0.8984460234642029,1.0000484550737747,0.9418485071487279,0.9291148889698623,0.9619315841552832,Outperforms Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
