Facility Name,Facility ID,State,Measure Name,Excess Readmission Ratio,Observed Readmission Rate,Expected Readmission Rate,Excess Readmissions Threshold
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HIP-KNEE-HRRP,0.8916,3.5325,3.9618,Below Threshold
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,1.1003,23.1263,21.0184,Above Threshold
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,0.9332,12.9044,13.8283,Below Threshold
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,0.9871,17.0529,17.2762,Below Threshold
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,0.9517,9.8131,10.3112,Below Threshold
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,0.9803,18.1837,18.5483,Below Threshold
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-COPD-HRRP,0.8784,16.2476,18.4967,Below Threshold
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-PN-HRRP,0.9497,15.2494,16.0567,Below Threshold
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,0.9885,19.1975,19.4209,Below Threshold
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HIP-KNEE-HRRP,0.7977,3.7634,4.7181,Below Threshold
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HIP-KNEE-HRRP,1.2468,5.5173,4.4251,Above Threshold
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-COPD-HRRP,0.9165,16.8035,18.3353,Below Threshold
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-CABG-HRRP,1.133,12.8249,11.3197,Above Threshold
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HF-HRRP,0.9629,19.3905,20.138,Below Threshold
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-AMI-HRRP,1.0472,12.3815,11.8232,Above Threshold
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-PN-HRRP,0.9731,16.2835,16.734,Below Threshold
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HF-HRRP,1.0385,20.908,20.1338,Above Threshold
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-PN-HRRP,0.9804,14.3119,14.598,Below Threshold
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HIP-KNEE-HRRP,0.9918,4.3361,4.3719,Below Threshold
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-COPD-HRRP,1.0329,17.5235,16.9657,Above Threshold
ST. VINCENT'S EAST,10011,AL,READM-30-AMI-HRRP,0.9969,11.9288,11.9664,Below Threshold
ST. VINCENT'S EAST,10011,AL,READM-30-HIP-KNEE-HRRP,0.9949,3.9895,4.0099,Below Threshold
ST. VINCENT'S EAST,10011,AL,READM-30-COPD-HRRP,1.0203,18.5304,18.1622,Above Threshold
ST. VINCENT'S EAST,10011,AL,READM-30-PN-HRRP,1.05,17.6813,16.8389,Above Threshold
ST. VINCENT'S EAST,10011,AL,READM-30-CABG-HRRP,1.153,12.495,10.8369,Above Threshold
ST. VINCENT'S EAST,10011,AL,READM-30-HF-HRRP,0.9971,19.9965,20.0544,Below Threshold
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HF-HRRP,0.9856,18.2175,18.4834,Below Threshold
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-PN-HRRP,0.9781,14.2085,14.526,Below Threshold
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HIP-KNEE-HRRP,0.922,3.2836,3.5615,Below Threshold
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-AMI-HRRP,1.0426,11.2386,10.7794,Above Threshold
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-PN-HRRP,1.0081,17.5256,17.3839,Above Threshold
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-CABG-HRRP,1.1156,13.0454,11.6937,Above Threshold
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-COPD-HRRP,0.9686,19.5372,20.1697,Below Threshold
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HIP-KNEE-HRRP,1.1085,5.3694,4.8437,Above Threshold
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-AMI-HRRP,1.038,14.1322,13.6152,Above Threshold
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HF-HRRP,0.9745,20.2796,20.81,Below Threshold
HELEN KELLER HOSPITAL,10019,AL,READM-30-HIP-KNEE-HRRP,1.041,3.6031,3.4611,Above Threshold
HELEN KELLER HOSPITAL,10019,AL,READM-30-HF-HRRP,0.9366,17.922,19.1344,Below Threshold
HELEN KELLER HOSPITAL,10019,AL,READM-30-COPD-HRRP,0.9307,16.5761,17.81,Below Threshold
HELEN KELLER HOSPITAL,10019,AL,READM-30-PN-HRRP,0.9978,15.456,15.4901,Below Threshold
DALE MEDICAL CENTER,10021,AL,READM-30-COPD-HRRP,0.9324,19.5288,20.9453,Below Threshold
DALE MEDICAL CENTER,10021,AL,READM-30-HF-HRRP,1.0428,21.074,20.2097,Above Threshold
DALE MEDICAL CENTER,10021,AL,READM-30-PN-HRRP,1.0552,15.7025,14.8809,Above Threshold
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-PN-HRRP,0.9662,12.8892,13.3402,Below Threshold
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-CABG-HRRP,1.0072,10.4407,10.3662,Above Threshold
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-COPD-HRRP,0.9977,19.3437,19.389,Below Threshold
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HIP-KNEE-HRRP,1.0243,5.018,4.8991,Above Threshold
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HF-HRRP,0.9412,19.3729,20.5838,Below Threshold
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-AMI-HRRP,1.0287,15.0433,14.6243,Above Threshold
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-PN-HRRP,0.9747,17.7691,18.2305,Below Threshold
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-PN-HRRP,1.0147,17.4308,17.1779,Above Threshold
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HIP-KNEE-HRRP,1.0187,3.5172,3.4527,Above Threshold
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HF-HRRP,0.9629,18.9363,19.6649,Below Threshold
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-AMI-HRRP,1.0898,15.9752,14.6583,Above Threshold
